Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0],userdata_rx_0[31:0],userdata_rx_1[31:0],rxdata_ctr_0[15:0],rxdata_ctr_1[15:0],ch0_rxctrl2[7:0],ch1_rxctrl2[7:0],rxbyteisaligned_i[1:0],rxbyterealign_i[1:0],rxcommadet_i[1:0],prbs_match_i[1:0],rxdata_errctr_0[15:0],rxdata_errctr_1[15:0],rxdata_nmlctr_i[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
983,983,0,072c2be380000c000cc0006300000000a86b5316a86b5316,a86b5316,a86b5316,0000,0000,63,00,0,0,0,3,000c,000c,072c2be380
984,984,0,072c2be381000c000cc0006300000000714ce345714ce345,714ce345,714ce345,0000,0000,63,00,0,0,0,3,000c,000c,072c2be381
985,985,0,072c2be382000c000cc0006300000000d04d4069d04d4069,d04d4069,d04d4069,0000,0000,63,00,0,0,0,3,000c,000c,072c2be382
986,986,0,072c2be383000c000cc0006300000000cadd8bcdcadd8bcd,cadd8bcd,cadd8bcd,0000,0000,63,00,0,0,0,3,000c,000c,072c2be383
987,987,0,072c2be384000c000cc0006300000000463ce2a5463ce2a5,463ce2a5,463ce2a5,0000,0000,63,00,0,0,0,3,000c,000c,072c2be384
988,988,0,072c2be385000c000cc00063000000002882408728824087,28824087,28824087,0000,0000,63,00,0,0,0,3,000c,000c,072c2be385
989,989,0,072c2be386000c000cc0006300000000a936fbb4a936fbb4,a936fbb4,a936fbb4,0000,0000,63,00,0,0,0,3,000c,000c,072c2be386
990,990,0,072c2be387000c000cc000630000000041f7ed9e41f7ed9e,41f7ed9e,41f7ed9e,0000,0000,63,00,0,0,0,3,000c,000c,072c2be387
991,991,0,072c2be388000c000cc0006300000000cb1b77e9cb1b77e9,cb1b77e9,cb1b77e9,0000,0000,63,00,0,0,0,3,000c,000c,072c2be388
992,992,0,072c2be389000c000cc000630000000046c3f37546c3f375,46c3f375,46c3f375,0000,0000,63,00,0,0,0,3,000c,000c,072c2be389
993,993,0,072c2be38a000c000cc0006300000000f8f23972f8f23972,f8f23972,f8f23972,0000,0000,63,00,0,0,0,3,000c,000c,072c2be38a
994,994,0,072c2be38b000c000cc00063000000001c09c0d11c09c0d1,1c09c0d1,1c09c0d1,0000,0000,63,00,0,0,0,3,000c,000c,072c2be38b
995,995,0,072c2be38c000c000cc0006300000000503b839a503b839a,503b839a,503b839a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be38c
996,996,0,072c2be38d000c000cc0006300000000e2e1860be2e1860b,e2e1860b,e2e1860b,0000,0000,63,00,0,0,0,3,000c,000c,072c2be38d
997,997,0,072c2be38e000c000cc000630000000020a1249a20a1249a,20a1249a,20a1249a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be38e
